"DTI_CL_INDICADOR","Indicador","DTI_CL_ANO","Año","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value","Flag Codes","Flags"
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",309054.569065689,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",231949.563530553,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL07","Región del Maule","_T","Ambos sexos",225506.520099149,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL07","Región del Maule","M","Hombres",238625.913486679,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL07","Región del Maule","F","Mujeres",193480.470394605,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL16","Región de Ñuble","_T","Ambos sexos",218913.653088196,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL16","Región de Ñuble","M","Hombres",231949.563530553,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL16","Región de Ñuble","F","Mujeres",177827.998706757,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL08","Región del Biobío","_T","Ambos sexos",257721.73725617,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL08","Región del Biobío","M","Hombres",287640.965986646,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL08","Región del Biobío","F","Mujeres",219063.476667744,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL09","Región de La Araucanía","_T","Ambos sexos",212620.43323634,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL09","Región de La Araucanía","M","Hombres",231790.926799267,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL09","Región de La Araucanía","F","Mujeres",167519.12921651,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL14","Región de Los Ríos","_T","Ambos sexos",230760.744902381,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL14","Región de Los Ríos","M","Hombres",251106.837365872,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL14","Región de Los Ríos","F","Mujeres",193159.105666056,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL10","Región de Los Lagos","_T","Ambos sexos",257545.474221407,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL10","Región de Los Lagos","M","Hombres",277322.0075656,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL10","Región de Los Lagos","F","Mujeres",218913.653088196,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",323863.43383342,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",392756.848187646,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",277322.0075656,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",390181.393445432,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",515090.948442815,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",309568.752631368,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","_T","Total país","_T","Ambos sexos",309739.624876647,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","_T","Total país","M","Hombres",348020.79002079,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","_T","Total país","F","Mujeres",249787.747521826,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",249787.747521826,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL15","Región de Arica y Parinacota","M","Hombres",310732.848232848,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL15","Región de Arica y Parinacota","F","Mujeres",192654.365904366,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL01","Región de Tarapacá","_T","Ambos sexos",348020.79002079,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL01","Región de Tarapacá","M","Hombres",374681.621282739,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL01","Región de Tarapacá","F","Mujeres",273444.906444906,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL02","Región de Antofagasta","_T","Ambos sexos",446025.059822371,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL02","Región de Antofagasta","M","Hombres",584177.754677755,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL02","Región de Antofagasta","F","Mujeres",309739.624876647,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL03","Región de Atacama","_T","Ambos sexos",340713.587364311,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL03","Región de Atacama","M","Hombres",415051.097334706,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL03","Región de Atacama","F","Mujeres",249787.747521826,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL04","Región de Coquimbo","_T","Ambos sexos",273444.906444906,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL04","Región de Coquimbo","M","Hombres",318479.378090328,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL04","Región de Coquimbo","F","Mujeres",232428.17047817,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL05","Región de Valparaíso","_T","Ambos sexos",275930.769230769,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL05","Región de Valparaíso","M","Hombres",324724.071778374,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL05","Región de Valparaíso","F","Mujeres",231053.666457689,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",340961.379064212,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL13","Región Metropolitana de Santiago","M","Hombres",374681.621282739,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL13","Región Metropolitana de Santiago","F","Mujeres",287255.9096501,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",285874.22037422,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",309739.624876647,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",248586.278586279,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL07","Región del Maule","_T","Ambos sexos",227306.850244862,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL07","Región del Maule","M","Hombres",247791.699901317,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL07","Región del Maule","F","Mujeres",214817.46286877,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL16","Región de Ñuble","_T","Ambos sexos",247791.699901317,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL16","Región de Ñuble","M","Hombres",281011.215962054,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL16","Región de Ñuble","F","Mujeres",188321.691925001,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL08","Región del Biobío","_T","Ambos sexos",260181.284896383,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL08","Región del Biobío","M","Hombres",309739.624876647,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL08","Región del Biobío","F","Mujeres",223012.529911186,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL09","Región de La Araucanía","_T","Ambos sexos",247791.699901317,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL09","Región de La Araucanía","M","Hombres",262277.134897917,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL09","Región de La Araucanía","F","Mujeres",186939.367359667,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL14","Región de Los Ríos","_T","Ambos sexos",229207.322408718,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL14","Región de Los Ríos","M","Hombres",262277.134897917,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL14","Región de Los Ríos","F","Mujeres",186439.708939709,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL10","Región de Los Lagos","_T","Ambos sexos",287255.9096501,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL10","Región de Los Lagos","M","Hombres",310732.848232848,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL10","Región de Los Lagos","F","Mujeres",253986.49239885,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",371687.549851976,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",422596.673596674,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",285874.22037422,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",435025.987525987,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",499575.495043652,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2011","2011","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",316947.505197505,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","_T","Total país","_T","Ambos sexos",332105.342894657,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","_T","Total país","M","Hombres",363930.808040841,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","_T","Total país","F","Mujeres",277760.832239168,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",281925.065962305,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL15","Región de Arica y Parinacota","M","Hombres",362296.737703262,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL15","Región de Arica y Parinacota","F","Mujeres",214956.610408022,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL01","Región de Tarapacá","_T","Ambos sexos",364333.237979699,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL01","Región de Tarapacá","M","Hombres",460979.023518399,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL01","Región de Tarapacá","F","Mujeres",303275.673367368,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL02","Región de Antofagasta","_T","Ambos sexos",509503.131257178,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL02","Región de Antofagasta","M","Hombres",607222.063299498,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL02","Región de Antofagasta","F","Mujeres",340044.355447719,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL03","Región de Atacama","_T","Ambos sexos",363930.808040841,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL03","Región de Atacama","M","Hombres",460979.023518399,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL03","Región de Atacama","F","Mujeres",291466.590383759,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL04","Región de Coquimbo","_T","Ambos sexos",318184.361168937,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL04","Región de Coquimbo","M","Hombres",375955.468271251,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL04","Región de Coquimbo","F","Mujeres",242620.538693894,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL05","Región de Valparaíso","_T","Ambos sexos",301913.948086052,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL05","Región de Valparaíso","M","Hombres",352188.796713709,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL05","Región de Valparaíso","F","Mujeres",242888.825319799,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",363930.808040841,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL13","Región Metropolitana de Santiago","M","Hombres",422679.527320473,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL13","Región Metropolitana de Santiago","F","Mujeres",313990.506009494,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",283799.111200889,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",303611.031649749,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",242888.825319799,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL07","Región del Maule","_T","Ambos sexos",242888.825319799,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL07","Región del Maule","M","Hombres",267177.707851779,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL07","Región del Maule","F","Mujeres",230662.256337744,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL16","Región de Ñuble","_T","Ambos sexos",253607.716392284,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL16","Región de Ñuble","M","Hombres",303275.673367368,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL16","Región de Ñuble","F","Mujeres",220784.690211444,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL08","Región del Biobío","_T","Ambos sexos",272948.106030631,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL08","Región del Biobío","M","Hombres",303611.031649749,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL08","Región del Biobío","F","Mujeres",235492.87950712,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL09","Región de La Araucanía","_T","Ambos sexos",242096.341379659,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL09","Región de La Araucanía","M","Hombres",278428.665892334,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL09","Región de La Araucanía","F","Mujeres",183178.50671389,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL14","Región de Los Ríos","_T","Ambos sexos",257462.154838987,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL14","Región de Los Ríos","M","Hombres",301913.948086052,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL14","Región de Los Ríos","F","Mujeres",218599.942787819,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL10","Región de Los Lagos","_T","Ambos sexos",301913.948086052,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL10","Región de Los Lagos","M","Hombres",306039.919902947,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL10","Región de Los Lagos","F","Mujeres",256023.027976972,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",350220.17977982,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",424585.942714315,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",264748.819598581,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",485241.077387788,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",543445.106554893,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2012","2012","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",389405.9646037,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2013","2013","_T","Total país","_T","Ambos sexos",355471.40525651,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2013","2013","_T","Total país","M","Hombres",404394.708047349,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2013","2013","_T","Total país","F","Mujeres",296226.171047092,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2013","2013","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",297752.144092704,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2013","2013","CHL15","Región de Arica y Parinacota","M","Hombres",357302.572911245,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2013","2013","CHL15","Región de Arica y Parinacota","F","Mujeres",236980.936837673,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2013","2013","CHL01","Región de Tarapacá","_T","Ambos sexos",393032.830202369,,
